condition,algorithm,seed,lambda,domain_id,train_count,test_accuracy,loss,empirical_weight,deployment_weight,source,alpha_eval,head_domain_id,tail_domain_id,is_head_domain,is_tail_domain
near_missing_tail,inftask,1,,0.2,1800,0.6068,0.6531213223934174,0.225,0.25,main_eval,,0.1,0.9,0,0
near_missing_tail,inftask,1,,0.5,350,0.5544,0.6798744201660156,0.04375,0.25,main_eval,,0.1,0.9,0,0
near_missing_tail,inftask,1,,0.9,50,0.4691,0.7497586011886597,0.00625,0.25,main_eval,,0.1,0.9,0,1
near_missing_tail,erm,4,,0.1,5800,0.8661,0.517174020409584,0.725,0.25,main_eval,,0.1,0.9,1,0
near_missing_tail,erm,4,,0.2,1800,0.7819,0.8975233733654022,0.225,0.25,main_eval,,0.1,0.9,0,0
near_missing_tail,erm,4,,0.5,350,0.5342,2.1019293069839478,0.04375,0.25,main_eval,,0.1,0.9,0,0
near_missing_tail,erm,4,,0.9,50,0.2224,3.6298468112945557,0.00625,0.25,main_eval,,0.1,0.9,0,1
long_tail_visible,erm,1,,0.1,5000,0.85,0.46257326006889343,0.625,0.25,main_eval,,0.1,0.9,1,0
long_tail_visible,erm,1,,0.2,2000,0.7723,0.7529137432575226,0.25,0.25,main_eval,,0.1,0.9,0,0
long_tail_visible,erm,1,,0.5,800,0.5536,1.5832841396331787,0.1,0.25,main_eval,,0.1,0.9,0,0
long_tail_visible,erm,1,,0.9,200,0.2692,2.7025762796401978,0.025,0.25,main_eval,,0.1,0.9,0,1
near_missing_tail,groupdro,4,,0.1,5800,0.8219,0.46980226039886475,0.725,0.25,main_eval,,0.1,0.9,1,0
near_missing_tail,groupdro,4,,0.2,1800,0.7698,0.6524872481822968,0.225,0.25,main_eval,,0.1,0.9,0,0
near_missing_tail,groupdro,4,,0.5,350,0.5778,1.2871724963188171,0.04375,0.25,main_eval,,0.1,0.9,0,0
near_missing_tail,groupdro,4,,0.9,50,0.3475,2.0771385431289673,0.00625,0.25,main_eval,,0.1,0.9,0,1
near_missing_tail,iro,1,,0.1,5800,0.6291,0.6404803693294525,0.725,0.25,main_eval,,0.1,0.9,1,0
near_missing_tail,iro,1,,0.2,1800,0.6041,0.6534017622470856,0.225,0.25,main_eval,,0.1,0.9,0,0
near_missing_tail,iro,1,,0.5,350,0.6054,0.662937730550766,0.04375,0.25,main_eval,,0.1,0.9,0,0
near_missing_tail,iro,1,,0.9,50,0.4449,0.7385751605033875,0.00625,0.25,main_eval,,0.1,0.9,0,1
balanced_visible,erm,4,,0.1,2000,0.751,0.5177081823348999,0.25,0.25,main_eval,,0.1,0.9,1,0
balanced_visible,erm,4,,0.2,2000,0.7383,0.5413115322589874,0.25,0.25,main_eval,,0.1,0.9,0,0
balanced_visible,erm,4,,0.5,2000,0.6861,0.6350702941417694,0.25,0.25,main_eval,,0.1,0.9,0,0
balanced_visible,erm,4,,0.9,2000,0.6153,0.7579426467418671,0.25,0.25,main_eval,,0.1,0.9,0,1
balanced_visible,irm,0,,0.1,2000,0.6828,0.8771190345287323,0.25,0.25,main_eval,,0.1,0.9,1,0
balanced_visible,irm,0,,0.2,2000,0.6737,0.9221026003360748,0.25,0.25,main_eval,,0.1,0.9,0,0
balanced_visible,irm,0,,0.5,2000,0.6603,0.9521477222442627,0.25,0.25,main_eval,,0.1,0.9,0,0
balanced_visible,irm,0,,0.9,2000,0.6365,1.0364099144935608,0.25,0.25,main_eval,,0.1,0.9,0,1
balanced_visible,erm,1,,0.1,2000,0.7545,0.5142286717891693,0.25,0.25,main_eval,,0.1,0.9,1,0
balanced_visible,erm,1,,0.2,2000,0.7298,0.5576064586639404,0.25,0.25,main_eval,,0.1,0.9,0,0
balanced_visible,erm,1,,0.5,2000,0.6854,0.6588566303253174,0.25,0.25,main_eval,,0.1,0.9,0,0
balanced_visible,erm,1,,0.9,2000,0.6072,0.7945647537708282,0.25,0.25,main_eval,,0.1,0.9,0,1
missing_tail,erm,1,,0.1,6000,0.8676,0.4941173791885376,0.75,0.25,main_eval,,0.1,0.9,1,0
missing_tail,erm,1,,0.2,1500,0.783,0.8817373216152191,0.1875,0.25,main_eval,,0.1,0.9,0,0
missing_tail,erm,1,,0.5,500,0.5518,1.970942735671997,0.0625,0.25,main_eval,,0.1,0.9,0,0
missing_tail,erm,1,,0.9,0,0.2228,3.4459890127182007,0.0,0.25,main_eval,,0.1,0.9,0,1
near_missing_tail,erm,0,,0.1,5800,0.8629,0.5919814705848694,0.725,0.25,main_eval,,0.1,0.9,1,0
near_missing_tail,erm,0,,0.2,1800,0.7787,1.0088028013706207,0.225,0.25,main_eval,,0.1,0.9,0,0
near_missing_tail,erm,0,,0.5,350,0.5543,2.2035516500473022,0.04375,0.25,main_eval,,0.1,0.9,0,0
